weight,nregion,modularity
x2031,37,0.937109314
x2032,32,0.930186754
x2033,31,0.926576458
x2034,30,0.92500056
x2040,43,0.951772955
x2041,38,0.941825029
x2042,36,0.935150114
x2043,32,0.927900187
x2044,31,0.926790526
x2100,37,0.937185609
x2101,33,0.924398376
x2102,33,0.923067428
x2103,34,0.931260638
x2104,35,0.936136701
x2110,33,0.932371736
x2111,30,0.924149514
x2112,33,0.923191221
x2113,32,0.924180548
x2114,34,0.929388364
x2120,35,0.933653756
x2121,36,0.925997505
x2122,31,0.923818832
x2123,31,0.922209194
x2124,33,0.925573636
x2130,35,0.937888115
x2131,33,0.930280949
x2132,32,0.925046207
x2133,30,0.923550737
x2134,33,0.925085739
x2140,37,0.942034886
x2141,36,0.934837722
x2142,34,0.92826395
x2143,32,0.925859444
x2144,32,0.924400451
x2200,32,0.925673615
x2201,32,0.924866325
x2202,31,0.927589429
x2203,32,0.930160347
x2204,33,0.934231095
x2210,33,0.926190638
x2211,33,0.923761387
x2212,31,0.923555092
x2213,30,0.925093162
x2214,34,0.928016309
x2220,36,0.927349461
x2221,31,0.924425661
x2222,32,0.924013364
x2223,32,0.922774618
x2224,33,0.925244153
x2230,32,0.930437656
x2231,32,0.925322245
x2232,30,0.924104563
x2233,32,0.924299161
x2234,32,0.924486683
x2240,35,0.935144799
x2241,34,0.927994922
x2242,31,0.925806981
x2243,31,0.924718913
x2244,32,0.925041832
x2300,31,0.929179665
x2301,30,0.929762183
x2302,28,0.928852214
x2303,30,0.92921792
x2304,32,0.932778126
x2310,32,0.925926949
x2311,29,0.925372288
x2312,31,0.925590962
x2313,31,0.928509489
x2314,33,0.929862966
x2320,30,0.925696674
x2321,32,0.924789083
x2322,31,0.923977681
x2323,30,0.924409301
x2324,32,0.925480682
x2330,31,0.92791775
x2331,29,0.924381714
x2332,31,0.92512286
x2333,29,0.923030843
x2334,31,0.925219912
x2340,32,0.929522161
x2341,31,0.925815405
x2342,31,0.925110026
x2343,32,0.924985262
x2344,30,0.924756959
x2400,30,0.933193868
x2401,30,0.931595671
x2402,28,0.931078858
x2403,29,0.931297665
x2404,31,0.933503126
x2410,30,0.927875639
x2411,31,0.927236489
x2412,29,0.928309351
x2413,30,0.928672443
x2414,31,0.930592891
x2420,31,0.92658976
x2421,30,0.926410776
x2422,31,0.925947877
x2423,31,0.926538334
x2424,31,0.928553885
x2430,29,0.92670708
x2431,31,0.925583904
x2432,29,0.924065339
x2433,30,0.925114245
x2434,29,0.925269904
x2440,32,0.928237514
x2441,30,0.926077378
x2442,31,0.925457263
x2443,30,0.925333488
x2444,30,0.924371835
x3000,76,0.979935306
x3001,43,0.946476798
x3002,37,0.931270303
x3003,35,0.925886261
x3004,36,0.930141449
x3010,53,0.957738908
x3011,37,0.938123606
x3012,36,0.928553548
x3013,33,0.92340287
x3014,31,0.925598448
x3020,45,0.94718773
x3021,36,0.935397174
x3022,35,0.928528835
x3023,31,0.924903616
x3024,31,0.923955752
x3030,42,0.943688042
x3031,36,0.935731158
x3032,33,0.929760464
